Title,Authors,Journal,Year,DOI,Source,Publications,Yes No
observed global changes in sector-relevant climate extremes indices-an extension to hadex3,"Dunn, RJH",EARTH AND SPACE SCIENCE,2024,10.1029/2023EA003279,WoS,2,0
the spatial transformation process and critical time node detection in global extreme high temperature clusters,"Zhang, T",EARTH AND SPACE SCIENCE,2021,10.1029/2020EA001282,WoS,2,0
"emergency heater based on gas-fired catalytic combustion infrared technology: structure, evaluation and thermal response","Qin, MY",ENERGY,2023,10.1016/j.energy.2023.127426,WoS,2,0
"ensemble learning for predicting average thermal extraction load of a hydrothermal geothermal field: a case study in guanzhong basin, china","Yu, RY",ENERGY,2024,10.1016/j.energy.2024.131146,WoS,2,0
long-term trends of atmospheric hot-and-polluted episodes (hpe) and the public health implications in the pearl river delta region of china,"Nduka, IC",ENVIRONMENTAL POLLUTION,2022,10.1016/j.envpol.2022.119782,WoS,2,0
projections and patterns of heat-related mortality impacts from climate change in southeast asia,"Amnuaylojaroen, T",ENVIRONMENTAL RESEARCH COMMUNICATIONS,2024,10.1088/2515-7620/ad3128,WoS,2,0
influence of meridional circulation on extreme high temperature and weakened rainfall over the yangtze river valley in august 2022,"Cang, C",ENVIRONMENTAL RESEARCH COMMUNICATIONS,2024,10.1088/2515-7620/ad33ec,WoS,2,0
urban vegetation cooling potential during heatwaves depends on background climate,"Zhao, JC",ENVIRONMENTAL RESEARCH LETTERS,2023,10.1088/1748-9326/acaf0f,WoS,2,0
late monsoon threatens coral refugia in the andaman sea,"Liu, YL",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac4a30,WoS,2,0
extreme weather and climate events and occupational health in thailand,"Langkulsen, U",EXTREME WEATHER EVENTS AND HUMAN HEALTH: INTERNATIONAL CASE STUDIES,2020,10.1007/978-3-030-23773-8_15,WoS,2,1
climate-related disasters and health impact in malaysia,"Aghamohammadi, N",EXTREME WEATHER EVENTS AND HUMAN HEALTH: INTERNATIONAL CASE STUDIES,2020,10.1007/978-3-030-23773-8_17,WoS,2,0
"community structure of thermophilic photosynthetic microbial mats and flocs at sembawang hot spring, singapore","George, C",FRONTIERS IN MICROBIOLOGY,2023,10.3389/fmicb.2023.1189468,WoS,2,0
"a thermostable, modified cathelicidin-derived peptide with enhanced membrane-active activity against <i>salmonella enterica</i> serovar typhimurium","Klubthawee, N",FRONTIERS IN MICROBIOLOGY,2021,10.3389/fmicb.2020.592220,WoS,2,0
nickel catalyst supported on sic incorporated sio2 for co2 methanation: positive effects of dysprosium promoter and microwaves heating method,"Nguyen, NP",FUEL,2024,10.1016/j.fuel.2024.130939,WoS,2,0
highly selective co2 electrocatalytic reduction on nickel single-atom catalyst in a high-temperature shockwave method,"Wang, JW",FUEL,2023,10.1016/j.fuel.2022.127312,WoS,2,0
a review on architectural and urban design approaches to reducing the urban heat island effect,"Yu, CH",GEOGRAFIA-MALAYSIAN JOURNAL OF SOCIETY & SPACE,2022,10.17576/geo-2022-1801-07,WoS,2,0
"the influence of el nino southern oscillation on urban heat island formation at tropical city: case of kuching city, sarawak","Kemarau, RA",GEOGRAFIA-MALAYSIAN JOURNAL OF SOCIETY & SPACE,2021,10.17576/geo-2021-1704-20,WoS,2,1
forest structure and composition alleviate human thermal stress,"Gillerot, L",GLOBAL CHANGE BIOLOGY,2022,10.1111/gcb.16419,WoS,2,0
the indian ocean dipole and el nino southern oscillation as major drivers of coral cover on shallow reefs in the andaman sea,"Dunne, RP",GLOBAL CHANGE BIOLOGY,2021,10.1111/gcb.15640,WoS,2,0
"extreme climate projections under representative concentration pathways in the lower songkhram river basin, thailand","Shrestha, S",HELIYON,2021,10.1016/j.heliyon.2021.e06146,WoS,2,0
resilience assessment for integrated energy system considering gas-thermal inertia and system interdependency,"Sun, QR",IEEE TRANSACTIONS ON SMART GRID,2024,10.1109/TSG.2023.3306183,WoS,2,0
restoration of a multi-energy distribution system with joint district network reconfiguration via distributed stochastic programming,"Li, ZM",IEEE TRANSACTIONS ON SMART GRID,2024,10.1109/TSG.2023.3317780,WoS,2,0
an analysis of climate change and health hazards: results from an international study,"Leal, W",INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,2022,10.1108/IJCCSM-08-2021-0090,WoS,2,0
climate change and extremes: implications on city livability and associated health risks across the globe,"Leal, W",INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,2023,10.1108/IJCCSM-07-2021-0078,WoS,2,0
renewable hydrogen driven chcp device,"Khalid, MB",INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,2022,10.1016/j.ijhydene.2021.10.148,WoS,2,0
thermal impact performance study for the thermal management of ammonia-fueled single tubular solid oxide fuel cell,"Lai, YC",INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,2023,10.1016/j.ijhydene.2022.10.106,WoS,2,0
chronic heat stress in tropical urban informal settlements,"Ramsay, EE",ISCIENCE,2021,10.1016/j.isci.2021.103248,WoS,2,0
applying machine learning to balance performance and stability of high energy density materials,"Huang, XN",ISCIENCE,2021,10.1016/j.isci.2021.102240,WoS,2,0
spatial patterns of health vulnerability to heatwaves in vietnam,Tran D.N.; Doan V.Q.; Nguyen V.T.; Khan A.; Thai P.K.; Cunrui H.; Chu C.; Schak E.; Phung D.,International Journal of Biometeorology,2020,10.1007/s00484-020-01876-2,Scopus,2,1
analysis of heatwaves based on the universal thermal climate index and apparent temperature over mainland southeast asia,Liu L.; Qin X.,International Journal of Biometeorology,2023,10.1007/s00484-023-02562-9,Scopus,2,1
future exposure of rainfall and temperature extremes to the most populous island of indonesia: a projection based on cordex simulation,Hendrawan V.S.A.; Mawandha H.G.; Sakti A.D.; Karlina; Andika N.; Shahid S.; Jayadi R.,International Journal of Climatology,2024,10.1002/joc.8537,Scopus,2,0
climate change over indonesia and its impact on nutmeg production: an analysis under high-resolution cordex-core regional simulation framework,Anripa N.; Kumar A.; Maharana P.; Dimri A.P.,International Journal of Climatology,2023,10.1002/joc.8098,Scopus,2,0
acquiring land in cold winter: consequences and possible explanations,"Pan, YH",JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,2022,10.1016/j.jeem.2022.102721,WoS,2,0
impact of temperature on morbidity: new evidence from china,"Agarwal, S",JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,2021,10.1016/j.jeem.2021.102495,WoS,2,0
thermal fluctuations independently modulate physiological plasticity and the dynamics of the gut microbiome in a tropical rocky shore oyster,"Arromrak, BS",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2024,10.1016/j.jembe.2024.152004,WoS,2,0
dynamic neuro-fuzzy systems for forecasting el nino southern oscillation (enso) using oceanic and continental climate parameters as inputs,"Lee, MZ",JOURNAL OF MARINE SCIENCE AND ENGINEERING,2022,10.3390/jmse10081161,WoS,2,0
"heatwaves, wildfires and global warming: a call to public health action","Corpuz, JCG",JOURNAL OF PUBLIC HEALTH,2023,10.1093/pubmed/fdad242,WoS,2,0
addressing the escalating heat index in the philippines: a call to action,"Rogayan, DV Jr",JOURNAL OF PUBLIC HEALTH,2024,10.1093/pubmed/fdae073,WoS,2,1
the 2020 report of the <i>lancet</i> countdown on health and climate change: responding to converging crises,"Watts, N",LANCET,2021,10.1016/S0140-6736(20)32290-X,WoS,2,0
the 2022 report of the <i>lancet</i> countdown on health and climate change: health at the mercy of fossil fuels,"Romanello, M",LANCET,2022,10.1016/S0140-6736(22)01540-9,WoS,2,0
"climate change and human health in vietnam: a systematic review and additional analyses on current impacts, future risk, and adaptation","Tran, NQL",LANCET REGIONAL HEALTH-WESTERN PACIFIC,2023,10.1016/j.lanwpc.2023.100943,WoS,2,1
climate change and population health in singapore: a systematic review,"Aik, J",LANCET REGIONAL HEALTH-WESTERN PACIFIC,2023,10.1016/j.lanwpc.2023.100947,WoS,2,1
seaweed and climate change: a mapping review,"Segaran, TC",MARINE ENVIRONMENTAL RESEARCH,2023,10.1016/j.marenvres.2023.106216,WoS,2,0
behaviour broadens thermal safety margins on artificial coastal defences in the tropics,"Chan, SHM",MARINE ENVIRONMENTAL RESEARCH,2022,10.1016/j.marenvres.2022.105618,WoS,2,0
interactive effects of extreme temperature and a widespread coastal metal contaminant reduce the fitness of a common tropical copepod across generations,"Dinh, KV",MARINE POLLUTION BULLETIN,2020,10.1016/j.marpolbul.2020.111509,WoS,2,0
the role of global reanalyses in climate services for health: insights from the <i>lancet</i> countdown,"Di Napoli, C",METEOROLOGICAL APPLICATIONS,2023,10.1002/met.2122,WoS,2,0
upper tropospheric cloud-radiation interaction induced by monsoon surge over the south china sea,"Koseki, S",METEOROLOGICAL APPLICATIONS,2023,10.1002/met.2125,WoS,2,0
corals in the hottest reefs in the world exhibit symbiont fidelity not flexibility,"Howells, EJ",MOLECULAR ECOLOGY,2020,10.1111/mec.15372,WoS,2,0
a heatwave of accretion energy traced by masers in the g358-mm1 high-mass protostar,"Burns, RA",NATURE ASTRONOMY,2020,10.1038/s41550-019-0989-3,WoS,2,0
a keplerian disk with a four-arm spiral birthing an episodically accreting high-mass protostar,"Burns, RA",NATURE ASTRONOMY,2023,10.1038/s41550-023-01899-w,WoS,2,0
research priorities for global food security under extreme events,"Mehrabi, Z",ONE EARTH,2022,10.1016/j.oneear.2022.06.008,WoS,2,0
reducing urban overheating risks through climate-resilient development in the warming tropics,"Chow, WTL",ONE EARTH,2024,10.1016/j.oneear.2023.12.018,WoS,2,0
impact of elevated temperature on the physiological and biochemical responses of<i>kappaphycus alvarezii</i>(rhodophyta),"Kumar, YN",PLOS ONE,2020,10.1371/journal.pone.0239097,WoS,2,0
translation and cross-cultural adaptation of heat strain score index (hssi) into the malay language,"Lim, MC",PLOS ONE,2023,10.1371/journal.pone.0281217,WoS,2,0
carboxylated cellulose composite film fabricated via layer-by-layer self-sssembly for thermal management material with ultra-high thermal conductivity,"Yang, B",POLYMER COMPOSITES,2024,10.1002/pc.28323,WoS,2,0
development and experimental analysis of polymer based composite bipolar plate using aquila taguchi optimization: design of experiments,"Raja, S",POLYMER COMPOSITES,2022,10.1002/pc.26861,WoS,2,0
resistance of african tropical forests to an extreme climate anomaly,"Bennett, AC",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF,2021,10.1073/pnas.2003169118,WoS,2,0
atmospheric forcing dominates winter barents-kara sea ice variability on interannual to decadal time scales,"Liu, Z",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF,2022,10.1073/pnas.2120770119,WoS,2,0
"beating the urban heat: situation, background, impacts and the way forward in china","He, BJ",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,2022,10.1016/j.rser.2022.112350,WoS,2,0
heat transfer growth of sonochemically synthesized novel mixed metal oxide zno+al<sub>2</sub>o<sub>3</sub>+tio<sub>2</sub>/dw based ternary hybrid nanofluids in a square flow conduit,"Ahmed, W",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,2021,10.1016/j.rser.2021.111025,WoS,2,0
evaluating urban greening scenarios for urban heat mitigation: a spatially explicit approach,"Bosch, M",ROYAL SOCIETY OPEN SCIENCE,2021,10.1098/rsos.202174,WoS,2,0
bellwethers of change: population modelling of north pacific humpback whales from 2002 through 2021 reveals shift from recovery to climate response,"Cheeseman, T",ROYAL SOCIETY OPEN SCIENCE,2024,10.1098/rsos.231462,WoS,2,0
unidirectionally excited phonon polaritons in high-symmetry orthorhombic crystals,"Zhang, Q",SCIENCE ADVANCES,2022,10.1126/sciadv.abn9774,WoS,2,0
the effects of maximum ambient temperature and heatwaves on dengue infections in the tropical city-state of singapore – a time series analysis,Seah A.; Aik J.; Ng L.-C.; Tam C.C.,Science of the Total Environment,2021,10.1016/j.scitotenv.2021.145117,Scopus,2,1
anthropogenic climate change exacerbates the risk of successive flood-heat extremes: multi-model global projections based on the inter-sectoral impact model intercomparison project,Zhou J.; Wu C.; Yeh P.J.-F.; Ju J.; Zhong L.; Wang S.; Zhang J.,Science of the Total Environment,2023,10.1016/j.scitotenv.2023.164274,Scopus,2,0
how do disparate urbanization and climate change imprint on urban thermal variations? a comparison between two dynamic cities in southeast asia,Nguyen C.T.; Chidthaisong A.; Limsakul A.; Varnakovida P.; Ekkawatpanit C.; Diem P.K.; Diep N.T.H.,Sustainable Cities and Society,2022,10.1016/j.scs.2022.103882,Scopus,2,1
assessing impact of urban densification on outdoor microclimate and thermal comfort using envi-met simulations for combined spatial-climatic design (cscd) approach,Banerjee S.; Pek R.X.Y.; Yik S.K.; Ching G.N.; Ho X.T.; Dzyuban Y.; Crank P.J.; Acero J.A.; Chow W.T.L.,Sustainable Cities and Society,2024,10.1016/j.scs.2024.105302,Scopus,2,0
design and performance testing of liquid separation fryer,"Trijid, W",13TH THAI SOCIETY OF AGRICULTURAL ENGINEERING INTERNATIONAL CONFERENCE,2020,10.1051/e3sconf/202018704005,WoS,1,0
performance of the outdoor evaporative cooling: a case study of thammasat university rangsit campus,"Altaf, M","2020 INTERNATIONAL CONFERENCE AND UTILITY EXHIBITION ON ENERGY,",2020,10.1109/icue49301.2020.9307135,WoS,1,0
chemical and physical behavior of rubberized concrete: a review,"Musarat, MA",2021 INTERNATIONAL CONFERENCE ON DECISION AID SCIENCES AND APPLICATION,2021,10.1109/DASA53625.2021.9682385,WoS,1,0
study on energy flow model and performance analysis of combined cooling and power system,"Cao, ML",2022 IEEE 17TH CONFERENCE ON INDUSTRIAL ELECTRONICS AND APPLICATIONS,2022,10.1109/ICIEA54703.2022.10005895,WoS,1,0
saving earth one tweet at a time through the lens of artificial intelligence,"Duong, C",2022 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN),2022,10.1109/IJCNN55064.2022.9892271,WoS,1,0
measurement of pcm-concrete composites thermal properties for energy conservation in building material,"Hakim, II",4TH INTERNATIONAL TROPICAL RENEWABLE ENERGY CONFERENCE (I-TREC 2019),2020,10.1063/5.0014120,WoS,1,0
"microclimatic perception and preference among market vendors in jakarta, indonesia","Ufaira, RM","7TH ENVIRONMENTAL TECHNOLOGY AND MANAGEMENT CONFERENCE, ETMC 2023",2024,10.1051/e3sconf/202448501005,WoS,1,0
crack-across-pore enabled high-performance flexible pressure sensors for deep neural network enhanced sensing and human action recognition,"Hou, YX",ACS NANO,2022,10.1021/acsnano.2c02609,WoS,1,0
optimizing mwcnt-based nanofluids for photovoltaic/thermal cooling through preparation parameters,"Chaichan, MT",ACS OMEGA,2023,10.1021/acsomega.2c07226,WoS,1,0
daytime radiative cooling under extreme weather conditions,"Hwang, J",ADVANCED ENERGY AND SUSTAINABILITY RESEARCH,2024,10.1002/aesr.202300239,WoS,1,0
bio-inspired sandwich-structured all-day-round solar evaporator for synergistic clean water and electricity generation,"Niu, R",ADVANCED ENERGY MATERIALS,2023,10.1002/aenm.202302451,WoS,1,0
flexible and stretchable thermoresponsive display for multifunctional device applications,"Kumar, V",ADVANCED ENGINEERING MATERIALS,2024,10.1002/adem.202400117,WoS,1,0
passive ultra-conductive thermal metamaterials,"Guo, J",ADVANCED MATERIALS,2022,10.1002/adma.202200329,WoS,1,0
planning urban energy systems adapting to extreme weather,"Jing, R",ADVANCES IN APPLIED ENERGY,2021,10.1016/j.adapen.2021.100053,WoS,1,0
navigating climate challenges: unraveling the effects of climate change on oil palm cultivation and adaptation strategies,"Abubakar, A","ADVANCES IN FOOD SECURITY AND SUSTAINABILITY, VOL. 8",2023,10.1016/bs.af2s.2023.07.002,WoS,1,0
prediction of droughts over pakistan using machine learning algorithms,"Khan, N",ADVANCES IN WATER RESOURCES,2020,10.1016/j.advwatres.2020.103562,WoS,1,0
numerical study of melting-process of a non-newtonian fluid inside a metal foam,"Mehryan, SAM",ALEXANDRIA ENGINEERING JOURNAL,2020,10.1016/j.aej.2019.12.021,WoS,1,0
timing metabolic depression: predicting thermal stress in extreme intertidal environments,"Hui, TY",AMERICAN NATURALIST,2020,10.1086/710339,WoS,1,0
electroosmotic flow modulation for improved electrokinetic preconcentration: application to capillary electrophoresis of fluorescent magnetic nanoparticles,"Nguyen, NVT",ANALYTICA CHIMICA ACTA,2021,10.1016/j.aca.2021.338466,WoS,1,0
association of selected gene polymorphisms with thermotolerance traits in cattle - a review,"Hariyono, DNH",ANIMAL BIOSCIENCE,2022,10.5713/ab.22.0055,WoS,1,0
analysis of mechanical and environmental effects of utilizing waste glass for the creation of sustainable ultra-high performance concrete,"Ismaeel, AM",ANNALES DE CHIMIE-SCIENCE DES MATERIAUX,2023,10.18280/acsm.470208,WoS,1,0
"tweaking crassulacean acid metabolism (cam)-cycling plants for crop productivity improvement in view of a bioenergy crop, <i>jatropha curcas</i> linn","Govender, N",ANNUAL PLANT REVIEWS ONLINE,2021,10.1002/9781119312994.apr0732,WoS,1,0
"physiological responses to increased temperature and irradiance in the calcifying macroalgae, <i>halimeda macroloba</i>, <i>halimeda opuntia</i> and <i>padina boryana</i>","Buapet, P",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2023,10.15666/aeer/2105_47454780,WoS,1,0
a detailed 3d stoichiometric map of spinels and oxides in structurally critical passivation layers on inconel 718 superalloy after heating up to 650°c,"Beyhaghi, M",APPLIED SURFACE SCIENCE,2024,10.1016/j.apsusc.2024.160276,WoS,1,0
"using remotely sensed data in google earth engine to investigate water surface temperature at shrimp farms in the climate change context: a case study at mong cai city, quang ninh province, vietnam","Bui, TD",AQUACULTURE INTERNATIONAL,2024,10.1007/s10499-024-01465-9,WoS,1,0
changes on the heat shock protein 70 (hsp70) in water buffalo spermatozoa revealed the capacitation like event in cryopreservation,"Rio, SME",ASIAN JOURNAL OF AGRICULTURE AND BIOLOGY,2021,10.35495/ajab.2020.07.412,WoS,1,0
large-scale effect of an accretion burst in the high-mass young stellar object g358.93-0.03-mm1,"Miao, D",ASTRONOMICAL JOURNAL,2024,10.3847/1538-3881/ad1599,WoS,1,0
mortality and morbidity of chronic kidney disease associated with ambient environment in metropolitans in taiwan,"Zafirah, Y",ATMOSPHERIC ENVIRONMENT,2022,10.1016/j.atmosenv.2022.119317,WoS,1,0
the impact of extreme heat on older regional and rural australians: a systematic review,"Harvey, G",AUSTRALIAN JOURNAL OF RURAL HEALTH,2024,10.1111/ajr.13094,WoS,1,1
"urban heat island, contributing factors, public responses and mitigation approaches in the tropical context of malaysia",Aghamohammadi N.; Ramakreshnan L.; Fong C.S.; Sulaiman N.M.,Advances in 21st Century Human Settlements,2021,10.1007/978-981-33-4050-3_5,Scopus,1,0
future changes in high and low flows under the impacts of climate and land use changes in the jiulong river basin of southeast china,Yang S.; Yang D.; Zhao B.; Ma T.; Lu W.; Santisirisomboon J.,Atmosphere,2022,10.3390/atmos13020150,Scopus,1,0
"interaction between heat wave and urban heat island: a case study in a tropical coastal city, singapore",Chew L.W.; Liu X.; Li X.-X.; Norford L.K.,Atmospheric Research,2021,10.1016/j.atmosres.2020.105134,Scopus,1,1
machine learning approach for predicting hydrothermal liquefaction of lignocellulosic biomass,"Katongtung, T",BIOENERGY RESEARCH,2024,10.1007/s12155-024-10773-0,WoS,1,0
"retracted: machine learning prediction of higher heating value of biomass (retracted article. see sep, 2023)","Dai, ZC",BIOMASS CONVERSION AND BIOREFINERY,2023,10.1007/s13399-021-01273-8,WoS,1,0
machine learning prediction of biocrude yields and higher heating values from hydrothermal liquefaction of wet biomass and wastes,"Katongtung, T",BIORESOURCE TECHNOLOGY,2022,10.1016/j.biortech.2021.126278,WoS,1,0
"population genetic differentiation of the ubiquitous brooding coral pocillopora acuta along phuket island reefs in the andaman sea, thailand","Fiesinger, A",BMC ECOLOGY AND EVOLUTION,2023,10.1186/s12862-023-02153-7,WoS,1,0
comparative transcriptome profiling of heat stress response of the mangrove crab <i>scylla serrata</i> across sites of varying climate profiles,"Shrestha, AMS",BMC GENOMICS,2021,10.1186/s12864-021-07891-w,WoS,1,0
"effects of high temperature stress during anthesis and grain filling periods on photosynthesis, lipids and grain yield in wheat","Djanaguiraman, M",BMC PLANT BIOLOGY,2020,10.1186/s12870-020-02479-0,WoS,1,0
involvement of the vegf signaling pathway in immunosuppression and hypoxia stress: analysis of mrna expression in lymphocytes mediating panting in jersey cattle under heat stress,"Wang, J",BMC VETERINARY RESEARCH,2021,10.1186/s12917-021-02912-y,WoS,1,0
systematic review of the efficacy of data-driven urban building energy models during extreme heat in cities: current trends and future outlook,"Mondal, N",BUILDING SIMULATION,2024,10.1007/s12273-024-1112-y,WoS,1,1
mitigating intensity of urban heat island by better understanding on urban morphology and anthropogenic heat dispersion,Yuan C.; Adelia A.S.; Mei S.; He W.; Li X.-X.; Norford L.,Building and Environment,2020,10.1016/j.buildenv.2020.106876,Scopus,1,0
in-situ thermal stability analysis of amorphous si-doped carbon films,"Rouhani, M",CARBON,2021,10.1016/j.carbon.2021.08.075,WoS,1,0
study of solar based vertical farming systems with ray traced daylighting analysis and visualizations,"Ng, EYK",CARPATHIAN JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,2020,10.34302/crpjfst/2020.12.4.3,WoS,1,0
fabricating advanced mxene-based hybrid materials to elevate fire safety and mechanical strength in carbon fiber-reinforced bismaleimide resins,"Ye, WB",CHEMICAL ENGINEERING JOURNAL,2024,10.1016/j.cej.2024.150456,WoS,1,0
hot-electron dynamics mediated medical diagnosis and therapy,"Luo, B",CHEMICAL REVIEWS,2023,10.1021/acs.chemrev.3c00475,WoS,1,0
associations between extreme temperatures and cardiovascular cause-specific mortality: results from 27 countries,"Alahmad, B",CIRCULATION,2023,10.1161/CIRCULATIONAHA.122.061832,WoS,1,0
extreme heat vulnerability assessment in tropical region: a case study in malaysia,"Kamal, NIA",CLIMATE AND DEVELOPMENT,2022,10.1080/17565529.2021.1937030,WoS,1,1
"re-naturing cities: impact of microclimate, human thermal comfort and recreational participation","Sanusi, R","CLIMATE CHANGE, HAZARDS AND ADAPTATION OPTIONS: HANDLING THE IMPACTS OF",2020,10.1007/978-3-030-37425-9_28,WoS,1,0
temperature and rainfall impacts on robusta coffee bean characteristics,"Kath, J",CLIMATE RISK MANAGEMENT,2021,10.1016/j.crm.2021.100281,WoS,1,0
thermomechanical behavior of brake drums under extreme braking conditions,"Khatir, T",CMC-COMPUTERS MATERIALS & CONTINUA,2022,10.32604/cmc.2022.020879,WoS,1,0
heat generation problem in the eddy current brake: a mini-review,"Putra, MRA",COGENT ENGINEERING,2024,10.1080/23311916.2024.2340270,WoS,1,0
palau's warmest reefs harbor thermally tolerant corals that thrive across different habitats,"Rivera, HE",COMMUNICATIONS BIOLOGY,2022,10.1038/s42003-022-04315-7,WoS,1,0
wear characteristics of 3d printed plastic gear with different infill percentages,"Nafiz, D",COMPOSITES-MECHANICS COMPUTATIONS APPLICATIONS,2023,,WoS,1,0
the effect of hematocrit and nanoparticles diameter on hemodynamic parameters and drug delivery in abdominal aortic aneurysm with consideration of blood pulsatile flow,"Jafarzadeh, S",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2020,10.1016/j.cmpb.2020.105545,WoS,1,0
lattice-boltzmann hydrodynamics of single-square-grid generated turbulence - a partial entropic stabilisation approach,"Yeoh, CV",COMPUTERS & MATHEMATICS WITH APPLICATIONS,2020,10.1016/j.camwa.2020.06.013,WoS,1,0
conserving threatened species during rapid environmental change: using biological responses to inform management strategies of giant clams,"Watson, SA",CONSERVATION PHYSIOLOGY,2021,10.1093/conphys/coab082,WoS,1,0
experimental study to differentiate mechanical behaviours of tmcp and qt high strength steel at elevated temperatures,"Xiong, MX",CONSTRUCTION AND BUILDING MATERIALS,2020,10.1016/j.conbuildmat.2020.118105,WoS,1,0
optical feedback loop involving dinoflagellate symbiont and scleractinian host drives colorful coral bleaching,"Bollati, E",CURRENT BIOLOGY,2020,10.1016/j.cub.2020.04.055,WoS,1,0
"establishing intensifying chronic exposure to extreme heat as a slow onset event with implications for health, wellbeing, productivity, society and economy","Oppermann, E",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2021,10.1016/j.cosust.2021.04.006,WoS,1,0
natural variability in seawater temperature compromises the metabolic performance of a reef-forming cold-water coral with implications for vulnerability to ongoing global change,Gómez C.E.; Gori A.; Weinnig A.M.; Hallaj A.; Chung H.J.; Cordes E.E.,Coral Reefs,2022,10.1007/s00338-022-02267-2,Scopus,1,0
an explainable deep learning model to prediction dental caries using panoramic radiograph images,"Oztekin, F",DIAGNOSTICS,2023,10.3390/diagnostics13020226,WoS,1,0
a review of how building mitigates the urban heat island in indonesia and tropical cities,"Sari, DP",EARTH,2021,10.3390/earth2030038,WoS,1,0
quantifying the mitigation of temperature extremes by forests and wetlands in a temperate landscape,"Gohr, C",ECOLOGICAL INFORMATICS,2021,10.1016/j.ecoinf.2021.101442,WoS,1,0
scientists' warning on climate change and insects,"Harvey, JA",ECOLOGICAL MONOGRAPHS,2023,10.1002/ecm.1553,WoS,1,0
climate change and surface urban heat islands in jakarta: analysis of landsat data and ground observations,"Lathiifunnisa, R",EIGHTH GEOINFORMATION SCIENCE SYMPOSIUM 2023: GEOINFORMATION SCIENCE FOR,2024,10.1117/12.3009649,WoS,1,0
electrochemical behavior of alloy 22 processed by laser powder bed fusion (l-pbf) in simulated seawater and acidic aqueous environments,"Coldsnow, K",ELECTROCHIMICA ACTA,2022,10.1016/j.electacta.2022.140519,WoS,1,0
double-target based neural networks in predicting energy consumption in residential buildings,"Moayedi, H",ENERGIES,2021,10.3390/en14051331,WoS,1,0
accelerating net zero from the perspective of optimizing a carbon capture and utilization system,"Hao, ZM",ENERGY & ENVIRONMENTAL SCIENCE,2022,10.1039/d1ee03923g,WoS,1,0
on the potential of building adaptation measures to counterbalance the impact of climatic change in the tropics,"Haddad, S",ENERGY AND BUILDINGS,2020,10.1016/j.enbuild.2020.110494,WoS,1,0
urban heat mitigation through improved building energy efficiency,"Baniassadi, A",ENERGY AND CLIMATE CHANGE,2022,10.1016/j.egycc.2022.100078,WoS,1,0
assessing systemic risk and connectedness among dirty and clean energy markets from the quantile and expectile perspectives,"Syuhada, K",ENERGY ECONOMICS,2024,10.1016/j.eneco.2023.107261,WoS,1,0
toward estimating standard enthalpy of combustion of pure chemical compounds: extreme learning machine approach,"Setiawan, R",ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,2021,10.1080/15567036.2021.1917730,WoS,1,0
simulation of steel-concrete composite floor system behavior at elevated temperatures via multi-hybrid metaheuristic framework,"Morasaei, A",ENGINEERING WITH COMPUTERS,2022,10.1007/s00366-020-01228-z,WoS,1,0
analyzing the energy performance of buildings by neuro-fuzzy logic based on different factors,"Cao, Y",ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2021,10.1007/s10668-021-01382-4,WoS,1,0
the different effects of climate extremes on physiological health among agroecology and conventional smallholder rice farmers,"How, V",ENVIRONMENTAL JUSTICE,2020,10.1089/env.2020.0001,WoS,1,0
"integrating multi-platform assembly to recover mags from hot spring biofilms: insights into microbial diversity, biofilm formation, and carbohydrate degradation","Liew, KJ",ENVIRONMENTAL MICROBIOME,2024,10.1186/s40793-024-00572-7,WoS,1,0
"assessment of spatiotemporal variability of ultraviolet index (uvi) over kerala, india, using satellite remote sensing (omi/aura) data","Valappil, NKM",ENVIRONMENTAL MONITORING AND ASSESSMENT,2024,10.1007/s10661-023-12239-w,WoS,1,0
urban household water usage in adaptation to climate change: evidence from china,"Qin, P",ENVIRONMENTAL SCIENCE & POLICY,2022,10.1016/j.envsci.2022.07.019,WoS,1,0
effects of coexposure to air pollution from vegetation fires and extreme heat on mortality in upper northern thailand,"Uttajug, A",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2024,10.1021/acs.est.3c08074,WoS,1,0
